"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"10.5","all","4 yr.","mnwk","with","4","Male","LPM","age_grp35-44",-1.62129514912498e-05,1.56903890422429e-06,-10.3330462027423,4.99487055095576e-25,NA,NA
"10.6","all","4 yr.","mnwk","with","4","Male","LPM","age_grp45-54",-1.70743590456236e-05,1.56816145464661e-06,-10.8881384598701,1.31296643159894e-27,NA,NA
"10.7","all","4 yr.","mnwk","with","4","Male","LPM","age_grp55-64",-1.71587339039087e-05,1.56807547925954e-06,-10.9425433474741,7.21471239948103e-28,NA,NA
"10.8","all","4 yr.","mnwk","with","4","Male","LPM","age_grp65-199",-1.70464267157678e-05,1.56788030791779e-06,-10.8722755363936,1.56254394303191e-27,NA,NA
"10.9","all","4 yr.","mnwk","with","4","Male","LPM","curr_pts_grp1-3",2.79481039809309e-06,1.02985404557753e-07,27.1379270693237,3.5155319818069e-162,NA,NA
"10.10","all","4 yr.","mnwk","with","4","Male","LPM","curr_pts_grp4-6",1.1120080049331e-05,2.56718308453701e-07,43.3162718947117,0,NA,NA
"10.11","all","4 yr.","mnwk","with","4","Male","LPM","curr_pts_grp7-9",2.06784904306766e-05,5.25506741003411e-07,39.3496197426368,0,NA,NA
"10.12","all","4 yr.","mnwk","with","4","Male","LPM","curr_pts_grp10-150",4.60937902915124e-05,8.74180083240346e-07,52.7280261529813,0,NA,NA
"10.13","all","4 yr.","mnwk","with","4","Male","LPM","month02",2.54590467231706e-07,1.46454186250972e-07,1.73836251287092,0.0821469577660878,NA,NA
"10.14","all","4 yr.","mnwk","with","4","Male","LPM","month03",3.08135572799981e-07,1.43221055434667e-07,2.15146838476234,0.0314392486622823,NA,NA
"10.15","all","4 yr.","mnwk","with","4","Male","LPM","month04",1.0881000704835e-06,1.50447248672696e-07,7.23243582108108,4.74406921190101e-13,NA,NA
"10.16","all","4 yr.","mnwk","with","4","Male","LPM","month05",1.85252102172805e-06,1.54765827121203e-07,11.9698324635792,5.11318173679967e-33,NA,NA
"10.17","all","4 yr.","mnwk","with","4","Male","LPM","month06",2.20780630227041e-06,1.58828933786927e-07,13.9005296429946,6.28744869275185e-44,NA,NA
