"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"7.11","all","Placebo","mnwk","no","all","Female","Logit","curr_pts_grp7-9",1.93460266869368,0.008125877590246,238.079228638135,0,NA,NA
"7.12","all","Placebo","mnwk","no","all","Female","Logit","curr_pts_grp10-150",2.24527231821347,0.0113998021802853,196.95712984357,0,NA,NA
"7.13","all","Placebo","mnwk","no","all","Female","Logit","month02",0.149438956265757,0.00669443543336399,22.3228616891242,2.21646429780276e-110,NA,NA
"7.14","all","Placebo","mnwk","no","all","Female","Logit","month03",0.172680133464933,0.00654443992864515,26.3857771402421,1.99553358859817e-153,NA,NA
"7.15","all","Placebo","mnwk","no","all","Female","Logit","month04",0.137628995145086,0.00675492713646019,20.3746083954369,2.8095942285513e-92,NA,NA
"7.16","all","Placebo","mnwk","no","all","Female","Logit","month05",0.18599179561348,0.00654923390773889,28.3990155541251,2.07968110739662e-177,NA,NA
"7.17","all","Placebo","mnwk","no","all","Female","Logit","month06",0.156070072458007,0.00668140322749228,23.3588764431726,1.11974324325243e-120,NA,NA
"7.18","all","Placebo","mnwk","no","all","Female","Logit","month07",0.10217926835176,0.00672546933201973,15.1928829509769,3.94196849605847e-52,NA,NA
"7.19","all","Placebo","mnwk","no","all","Female","Logit","month08",0.0266127632834514,0.00678568440059812,3.92189817744922,8.78541223185372e-05,NA,NA
"7.20","all","Placebo","mnwk","no","all","Female","Logit","month09",0.313755024934219,0.0064455467344238,48.6777984648757,0,NA,NA
"7.21","all","Placebo","mnwk","no","all","Female","Logit","month10",0.259039457089192,0.00642104046224688,40.3422869879483,0,NA,NA
"7.22","all","Placebo","mnwk","no","all","Female","Logit","month11",0.268272030769599,0.00644238336926739,41.6417365115771,0,NA,NA
"7.23","all","Placebo","mnwk","no","all","Female","Logit","month12",-0.544727220943336,0.0080389399411691,-67.761076078411,0,NA,NA
"7.24","all","Placebo","mnwk","no","all","Female","Logit","weekdayMonday",0.622193502444164,0.00580948078808403,107.09967467667,0,NA,NA
"7.25","all","Placebo","mnwk","no","all","Female","Logit","weekdayTuesday",0.750779025643822,0.00569670293049408,131.791851322447,0,NA,NA
"7.26","all","Placebo","mnwk","no","all","Female","Logit","weekdayWednesday",0.803242871058715,0.00564926312618525,142.18542367686,0,NA,NA
"7.27","all","Placebo","mnwk","no","all","Female","Logit","weekdayThursday",0.758138870009284,0.00568698076397433,133.311312535452,0,NA,NA
"7.28","all","Placebo","mnwk","no","all","Female","Logit","weekdayFriday",0.574995934441275,0.00586581805699551,98.0248498767433,0,NA,NA
"7.29","all","Placebo","mnwk","no","all","Female","Logit","weekdaySaturday",0.113467372860039,0.00644721897148216,17.599429050252,2.48822780880408e-69,NA,NA
"8","all","Placebo","mnwk","with","all","Female","Logit","(Intercept)",-10.7402171230311,0.141336510388488,-75.9903940850792,0,NA,NA
"8.1","all","Placebo","mnwk","with","all","Female","Logit","policyTRUE",0.169624794020659,0.187262750575921,0.905811719089798,0.365035517187171,0.841541740076807,4.36950407263334
"8.2","all","Placebo","mnwk","with","all","Female","Logit","age_grp16-19",1.87453275313815,0.141566020661021,13.2414031586485,5.05948383288732e-40,33.8561162415358,130.258277477855
"8.3","all","Placebo","mnwk","with","all","Female","Logit","age_grp20-24",1.8518780464128,0.141310962938281,13.1049849771502,3.0832436675361e-39,34.8727302186378,126.816063835603
"8.4","all","Placebo","mnwk","with","all","Female","Logit","age_grp25-34",1.72474747901562,0.141247798225642,12.2107919605256,2.7222706366594e-34,28.2528669928435,108.877815649518
"8.5","all","Placebo","mnwk","with","all","Female","Logit","age_grp35-44",1.66131760733024,0.141242611071049,11.7621558730216,6.1152725266687e-32,25.5744502209907,100.743182564159
"8.6","all","Placebo","mnwk","with","all","Female","Logit","age_grp45-54",1.45952421962111,0.141254218859393,10.3326062145723,5.01784454426247e-25,18.3664212013442,78.0363541092908
"8.7","all","Placebo","mnwk","with","all","Female","Logit","age_grp55-64",1.19041190412858,0.141316453540341,8.4237318040872,3.64678744994349e-17,11.9061722476837,54.0644086434275
"8.8","all","Placebo","mnwk","with","all","Female","Logit","age_grp65-199",0.742949868188595,0.141497887492227,5.25060749213948,1.51598421294531e-07,5.33400321011901,26.0451189019633
"8.9","all","Placebo","mnwk","with","all","Female","Logit","curr_pts_grp1-3",1.14594096980264,0.00326216280898317,351.28258057722,0,NA,NA
"8.10","all","Placebo","mnwk","with","all","Female","Logit","curr_pts_grp4-6",1.66624181273673,0.00500242789791987,333.086622483773,0,NA,NA
"8.11","all","Placebo","mnwk","with","all","Female","Logit","curr_pts_grp7-9",1.93497665161221,0.0081260459365556,238.120319121946,0,NA,NA
"8.12","all","Placebo","mnwk","with","all","Female","Logit","curr_pts_grp10-150",2.24578944384895,0.0114002836960256,196.994171700471,0,NA,NA
"8.13","all","Placebo","mnwk","with","all","Female","Logit","month02",0.149436125557979,0.00669443343178875,22.3224455184476,2.23719280659066e-110,NA,NA
"8.14","all","Placebo","mnwk","with","all","Female","Logit","month03",0.172674799658221,0.00654443889300136,26.3849663021347,2.03874898739341e-153,NA,NA
"8.15","all","Placebo","mnwk","with","all","Female","Logit","month04",0.137619507076958,0.00675496384152741,20.3730930772591,2.89790178316474e-92,NA,NA
"8.16","all","Placebo","mnwk","with","all","Female","Logit","month05",0.185985934436845,0.00654926293827279,28.3979947346402,2.14092967475295e-177,NA,NA
"8.17","all","Placebo","mnwk","with","all","Female","Logit","month06",0.15606604743103,0.00668142114796965,23.3582113707134,1.13730667466893e-120,NA,NA
"8.18","all","Placebo","mnwk","with","all","Female","Logit","month07",0.102177817413954,0.00672547359869639,15.1926575748895,3.95554745317611e-52,NA,NA
"8.19","all","Placebo","mnwk","with","all","Female","Logit","month08",0.0266118483122478,0.00678568459810055,3.92176322484794,8.7903352631578e-05,NA,NA
"8.20","all","Placebo","mnwk","with","all","Female","Logit","month09",0.31375531440343,0.00644554625282623,48.6778470119356,0,NA,NA
"8.21","all","Placebo","mnwk","with","all","Female","Logit","month10",0.2590426981399,0.00642103834805048,40.3428050260047,0,NA,NA
"8.22","all","Placebo","mnwk","with","all","Female","Logit","month11",0.268276685818589,0.00644238023325817,41.6424793484925,0,NA,NA
"8.23","all","Placebo","mnwk","with","all","Female","Logit","month12",-0.544725397605293,0.00803893691920926,-67.7608747375112,0,NA,NA
"8.24","all","Placebo","mnwk","with","all","Female","Logit","weekdayMonday",0.622193585154083,0.00580947957972496,107.09971119023,0,NA,NA
