"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"2.20","high","4 yr.","mnwk","with","all","All","LPM","month09",0.000245877285285564,4.46856130745937e-06,55.0238137888186,0
"2.21","high","4 yr.","mnwk","with","all","All","LPM","month10",0.000207929849835567,4.38729537166874e-06,47.3936291543733,0
"2.22","high","4 yr.","mnwk","with","all","All","LPM","month11",0.000195665668213637,4.4030139766182e-06,44.4390295494636,0
"2.23","high","4 yr.","mnwk","with","all","All","LPM","month12",-0.000355434988417972,3.67710820172728e-06,-96.6615527525162,0
"2.24","high","4 yr.","mnwk","with","all","All","LPM","weekdayMonday",0.000348110169050454,3.11580207924318e-06,111.724095496788,0
"2.25","high","4 yr.","mnwk","with","all","All","LPM","weekdayTuesday",0.000453008533846549,3.21272497885953e-06,141.00445473156,0
"2.26","high","4 yr.","mnwk","with","all","All","LPM","weekdayWednesday",0.000509576402102148,3.26412154639019e-06,156.114407769432,0
"2.27","high","4 yr.","mnwk","with","all","All","LPM","weekdayThursday",0.000458206714150355,3.22460588626187e-06,142.096966361844,0
"2.28","high","4 yr.","mnwk","with","all","All","LPM","weekdayFriday",0.000353479078579462,3.12665445792496e-06,113.05345164814,0
"2.29","high","4 yr.","mnwk","with","all","All","LPM","weekdaySaturday",6.65095506554717e-05,2.83352682864779e-06,23.4723560698422,7.81679840861665e-122
"2.30","high","4 yr.","mnwk","with","all","All","LPM","policyTRUE:age_grp16-19",-0.000872715586612418,6.51607914810975e-05,-13.3932625245288,6.62077853218166e-41
"2.31","high","4 yr.","mnwk","with","all","All","LPM","policyTRUE:age_grp20-24",0.00025456715982132,6.32474360252624e-05,4.02494038998894,5.69897531831831e-05
"2.32","high","4 yr.","mnwk","with","all","All","LPM","policyTRUE:age_grp25-34",0.000645731565920016,6.30690106989834e-05,10.2384920702494,1.33297982414219e-24
"2.33","high","4 yr.","mnwk","with","all","All","LPM","policyTRUE:age_grp35-44",0.000695534833013646,6.30789725199404e-05,11.0264134818267,2.85006392816504e-28
"2.34","high","4 yr.","mnwk","with","all","All","LPM","policyTRUE:age_grp45-54",0.000712381816841829,6.30965397943051e-05,11.2903468108425,1.46458154455589e-29
"2.35","high","4 yr.","mnwk","with","all","All","LPM","policyTRUE:age_grp55-64",0.000758459256933809,6.31651430693146e-05,12.007560183969,3.24272686217136e-33
"2.36","high","4 yr.","mnwk","with","all","All","LPM","policyTRUE:age_grp65-199",0.000837083644853721,6.3278137406525e-05,13.228639134492,5.9963636864244e-40
"3","high","4 yr.","mnwk","no","1","All","LPM","(Intercept)",-9.67123319356133e-05,6.81742159343496e-06,-14.1860570906668,1.11769694844918e-45
