"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"15.1","high","4 yr.","excluded","no","9+","All","LPM","policyTRUE",-3.32086940706666e-06,1.22003985302509e-07,-27.2193518829124,3.83383083960054e-163
"15.2","high","4 yr.","excluded","no","9+","All","LPM","age_grp16-19",-2.49888592850621e-06,1.17224751781289e-05,-0.213170502861758,0.831193974830466
"15.3","high","4 yr.","excluded","no","9+","All","LPM","age_grp20-24",-1.81847066967242e-05,1.16617813413006e-05,-1.55934210773808,0.118915430796376
"15.4","high","4 yr.","excluded","no","9+","All","LPM","age_grp25-34",-2.21606841118287e-05,1.16592231509105e-05,-1.90069988583227,0.0573413337679917
"15.5","high","4 yr.","excluded","no","9+","All","LPM","age_grp35-44",-2.38548653573257e-05,1.16589015102078e-05,-2.0460645744747,0.0407500180456042
"15.6","high","4 yr.","excluded","no","9+","All","LPM","age_grp45-54",-2.43399231950467e-05,1.16588232788453e-05,-2.08768265998259,0.0368264702434559
"15.7","high","4 yr.","excluded","no","9+","All","LPM","age_grp55-64",-2.42380986910593e-05,1.16592642582564e-05,-2.07887034328905,0.0376292694364351
"15.8","high","4 yr.","excluded","no","9+","All","LPM","age_grp65-199",-2.34809669132534e-05,1.16608242297984e-05,-2.01366270947207,0.0440449579095265
"15.9","high","4 yr.","excluded","no","9+","All","LPM","curr_pts_grp1-3",-1.11933260175603e-06,1.24713050970285e-07,-8.9752643612474,2.8267255556908e-19
"15.10","high","4 yr.","excluded","no","9+","All","LPM","curr_pts_grp4-6",1.6593505108813e-07,1.6934492377414e-07,0.979864334814321,0.327153090220328
"15.11","high","4 yr.","excluded","no","9+","All","LPM","curr_pts_grp7-9",3.23031347148918e-06,2.80826913419839e-07,11.5028628565234,1.2761176777742e-30
"15.12","high","4 yr.","excluded","no","9+","All","LPM","curr_pts_grp10-150",1.28367114622544e-05,4.98771214219624e-07,25.7366726392554,4.54553742476319e-146
"16","high","4 yr.","excluded","with","9+","All","LPM","(Intercept)",3.44296556754567e-05,1.44383801509837e-05,2.38459268390373,0.0170980406007088
"16.1","high","4 yr.","excluded","with","9+","All","LPM","policyTRUE",-3.71075445469771e-05,1.44355449217127e-05,-2.57056763345061,0.0101532000397066
"16.2","high","4 yr.","excluded","with","9+","All","LPM","age_grp16-19",-2.12781480921586e-06,1.45257210372815e-05,-0.146486002571208,0.883537739079403
"16.3","high","4 yr.","excluded","with","9+","All","LPM","age_grp20-24",-2.27819210673879e-05,1.44415412501091e-05,-1.57752698779404,0.114674317600513
"16.4","high","4 yr.","excluded","with","9+","All","LPM","age_grp25-34",-2.88983703006417e-05,1.44366818084979e-05,-2.00173216283199,0.0453135455429955
"16.5","high","4 yr.","excluded","with","9+","All","LPM","age_grp35-44",-3.08363281983301e-05,1.44362345040973e-05,-2.13603680305818,0.0326764143558289
"16.6","high","4 yr.","excluded","with","9+","All","LPM","age_grp45-54",-3.15423544069574e-05,1.44362462097348e-05,-2.18494156643625,0.0288931314878556
"16.7","high","4 yr.","excluded","with","9+","All","LPM","age_grp55-64",-3.13607304760135e-05,1.44372045123256e-05,-2.17221626591488,0.0298393545504302
"16.8","high","4 yr.","excluded","with","9+","All","LPM","age_grp65-199",-3.03932869504479e-05,1.44409844170447e-05,-2.10465478479256,0.0353213692401336
"16.9","high","4 yr.","excluded","with","9+","All","LPM","curr_pts_grp1-3",-1.19947202137073e-06,1.2569106260815e-07,-9.54301758996312,1.38735758072186e-21
"16.10","high","4 yr.","excluded","with","9+","All","LPM","curr_pts_grp4-6",1.21079402644258e-07,1.69628536390759e-07,0.713791471768278,0.4753561340831
"16.11","high","4 yr.","excluded","with","9+","All","LPM","curr_pts_grp7-9",3.25748163894465e-06,2.80662439056e-07,11.6064039416927,3.82361675245242e-31
"16.12","high","4 yr.","excluded","with","9+","All","LPM","curr_pts_grp10-150",1.29949288492121e-05,4.98660456271639e-07,26.0596738437453,1.04532692475475e-149
"16.13","high","4 yr.","excluded","with","9+","All","LPM","policyTRUE:age_grp16-19",8.68508850767046e-06,1.45836644047222e-05,0.595535406372778,0.551485639367542
"16.14","high","4 yr.","excluded","with","9+","All","LPM","policyTRUE:age_grp20-24",2.95093789942503e-05,1.44451230607077e-05,2.04286103138291,0.0410661970823101
"16.15","high","4 yr.","excluded","with","9+","All","LPM","policyTRUE:age_grp25-34",3.42378829702829e-05,1.44374760819204e-05,2.37145902621843,0.0177180112437623
"16.16","high","4 yr.","excluded","with","9+","All","LPM","policyTRUE:age_grp35-44",3.47361598633518e-05,1.44369133005452e-05,2.40606555849026,0.0161253708249916
"16.17","high","4 yr.","excluded","with","9+","All","LPM","policyTRUE:age_grp45-54",3.51228518346128e-05,1.44368959107806e-05,2.43285343689326,0.0149803633967458
"16.18","high","4 yr.","excluded","with","9+","All","LPM","policyTRUE:age_grp55-64",3.49566699176581e-05,1.44380329618565e-05,2.42115182933917,0.0154714139936541
"16.19","high","4 yr.","excluded","with","9+","All","LPM","policyTRUE:age_grp65-199",3.45223232310665e-05,1.4442557365654e-05,2.39031927359101,0.0168337319602435
