,past_pts,window,seasonality,age_int,pts_target,sex,reg_type,Variable,Estimate,Std_Error,z_stat,p_value,mfx
9,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,(Intercept),-9.144703042,0.019513851,-468.6262513,0,NA
9.1,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policyTRUE,-0.076218597,0.001451577,-52.50745673,0,-4.034086518
9.2,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy01,0.14825419,0.004655064,31.84793797,1.41E-222,7.142069038
9.3,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy02,0.110962698,0.004558258,24.34322232,6.84E-131,6.250126135
9.4,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy03,0.037951269,0.004761035,7.971223223,1.57E-15,2.171297309
9.5,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy04,-0.096475297,0.004871645,-19.8034342,2.78E-87,-5.1788615
9.6,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy05,-0.096871124,0.005178191,-18.70752128,4.30E-78,-5.398978333
9.7,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy06,-0.120598441,0.00468461,-25.74353811,3.81E-146,-6.615057899
9.8,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy07,-0.078210381,0.004628067,-16.89914555,4.56E-64,-4.240110698
9.9,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy08,-0.132011311,0.004884547,-27.02631634,7.25E-161,-6.414452293
9.1,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy09,-0.250318472,0.007121954,-35.14744447,1.27E-270,-15.50153289
9.11,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy10,-0.369887361,0.005685691,-65.05583316,0,-22.11039553
9.12,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy11,-0.136566564,0.005114312,-26.7028221,4.36E-157,-7.925624081
9.13,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,policy_monthpolicy12,-0.055123996,0.004719822,-11.67925439,1.63E-31,-1.518807843
9.14,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,age_grp16-19,1.216281992,0.019459756,62.50242875,0,NA
9.15,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,age_grp20-24,1.067405103,0.01936556,55.1187306,0,NA
9.16,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,age_grp25-34,0.885288852,0.019329543,45.79978265,0,NA
9.17,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,age_grp35-44,0.784688216,0.019330311,40.59366647,0,NA
9.18,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,age_grp45-54,0.690978408,0.019332003,35.74272233,8.58E-280,NA
9.19,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,age_grp55-64,0.538906721,0.019361572,27.83383098,1.69E-170,NA
9.2,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,age_grp65-199,0.201236832,0.019428204,10.35797399,3.85E-25,NA
9.21,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,curr_pts_grp1-3,1.083204335,0.001474601,734.5745403,0,NA
9.22,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,curr_pts_grp4-6,1.534367264,0.00183341,836.8927686,0,NA
9.23,all,Monthly 4 yr.,mnwk,no,all,Male,Logit,curr_pts_grp7-9,1.779738261,0.002410977,738.181436,0,NA
