"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","mfx"
"12.25","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month02",0.171717702756647,0.00536231187437459,32.0230726558915,5.20611530839983e-225,NA
"12.26","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month03",0.211482586085248,0.00520132280403931,40.6593849397334,0,NA
"12.27","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month04",0.162905033386952,0.00536632414684674,30.3569126517777,2.03647035850487e-202,NA
"12.28","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month05",0.200515021598072,0.00526093496219467,38.1139518049515,0,NA
"12.29","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month06",0.15884695410118,0.00535100975890943,29.6854166331317,1.18455096146318e-193,NA
"12.30","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month07",0.0982155616894287,0.00538813839286341,18.2281067278293,3.08828530556159e-74,NA
"12.31","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month08",0.0132577697669011,0.00548733163827672,2.41606861783639,0.0156891044207575,NA
"12.32","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month09",0.317342953900007,0.00515481236923038,61.5624645805268,0,NA
"12.33","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month10",0.276428921789082,0.0051479002802102,53.6974119043725,0,NA
"12.34","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month11",0.269678228048869,0.00518680605495525,51.9931196947744,0,NA
"12.35","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","month12",-0.587911208248983,0.00650443779538935,-90.3861681428828,0,NA
"12.36","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","weekdayMonday",0.635477783528683,0.00406436186847329,156.353642734915,0,NA
"12.37","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","weekdayTuesday",0.777621273208226,0.00397099830713912,195.82513339535,0,NA
"12.38","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","weekdayWednesday",0.825364735990284,0.00394188172374167,209.383435078524,0,NA
"12.39","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","weekdayThursday",0.764805986378257,0.0039820031078516,192.065642759102,0,NA
"12.40","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","weekdayFriday",0.606410609439427,0.00408849648414003,148.32117669461,0,NA
"12.41","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","weekdaySaturday",0.134471468314395,0.00450043944409195,29.8796306416089,3.61983800145392e-196,NA
"12.42","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policyTRUE:age_grp16-19",0.0608042610398538,0.130691116617031,0.465251675965329,0.641751236287126,2.45584302037133
"12.43","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policyTRUE:age_grp20-24",0.0402393386757925,0.130463870739928,0.308432813219281,0.757753016846428,1.696283093483
"12.44","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policyTRUE:age_grp25-34",0.0191887372395113,0.13040255311831,0.147150011872098,0.883013615722456,0.655624288067328
"12.45","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policyTRUE:age_grp35-44",0.0502056347875025,0.130399405712314,0.385014291386155,0.700226827222427,1.59061255099458
"12.46","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policyTRUE:age_grp45-54",0.0438753958415582,0.130409249259232,0.336443895588581,0.736536152814428,1.06155935631476
"12.47","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policyTRUE:age_grp55-64",0.0570100699455835,0.130468245394031,0.436965100384432,0.662136658241341,0.9952275778645
"12.48","all","Monthly 4 yr.","mnwk","with","all","Female","Logit","policyTRUE:age_grp65-199",0.131304428789457,0.130621360189042,1.00522937901907,0.31478641160214,1.44805414594651
