"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"4.1","high","4 yr.","mnwk","with","1","Male","LPM","policyTRUE",-4.30227387590367e-05,8.51379099499017e-06,-5.05329985013173,4.34241427809417e-07,NA,NA
"4.2","high","4 yr.","mnwk","with","1","Male","LPM","age_grp16-19",8.89304913978509e-05,9.08208680262533e-06,9.79185657773542,1.22034522904913e-22,NA,NA
"4.3","high","4 yr.","mnwk","with","1","Male","LPM","age_grp20-24",8.1709465994509e-05,8.59198732687534e-06,9.50996118661925,1.90734120384314e-21,NA,NA
"4.4","high","4 yr.","mnwk","with","1","Male","LPM","age_grp25-34",9.31580479754366e-05,8.54657842135142e-06,10.9000401543974,1.15206884303377e-27,NA,NA
"4.5","high","4 yr.","mnwk","with","1","Male","LPM","age_grp35-44",9.49930873701763e-05,8.55528249653883e-06,11.1034425115252,1.20703809527462e-28,NA,NA
"4.6","high","4 yr.","mnwk","with","1","Male","LPM","age_grp45-54",9.42355451122898e-05,8.56510259382784e-06,11.00226694076,3.726457396873e-28,NA,NA
"4.7","high","4 yr.","mnwk","with","1","Male","LPM","age_grp55-64",8.83636467294319e-05,8.59504001665861e-06,10.2807719985211,8.60359386667987e-25,NA,NA
"4.8","high","4 yr.","mnwk","with","1","Male","LPM","age_grp65-199",6.61967386231732e-05,8.6194721830236e-06,7.67990628864148,1.59205163618611e-14,NA,NA
"4.9","high","4 yr.","mnwk","with","1","Male","LPM","curr_pts_grp1-3",2.91251675689993e-05,5.75193787592115e-07,50.6354000986754,0,NA,NA
"4.10","high","4 yr.","mnwk","with","1","Male","LPM","curr_pts_grp4-6",7.01057944810028e-05,8.45471126484974e-07,82.9192059727291,0,NA,NA
"4.11","high","4 yr.","mnwk","with","1","Male","LPM","curr_pts_grp7-9",0.000115950879439288,1.33291991803501e-06,86.9901318679542,0,NA,NA
"4.12","high","4 yr.","mnwk","with","1","Male","LPM","curr_pts_grp10-150",0.000198887890550787,1.93399258397128e-06,102.837979938056,0,NA,NA
"4.13","high","4 yr.","mnwk","with","1","Male","LPM","month02",1.33457745723981e-05,1.41885123523333e-06,9.40604218468573,5.15172078554733e-21,NA,NA
"4.14","high","4 yr.","mnwk","with","1","Male","LPM","month03",1.52181133699906e-05,1.39008362304927e-06,10.9476243857966,6.8213434204541e-28,NA,NA
"4.15","high","4 yr.","mnwk","with","1","Male","LPM","month04",8.5444066963277e-06,1.38048755655807e-06,6.18941232446255,6.03889554984205e-10,NA,NA
"4.16","high","4 yr.","mnwk","with","1","Male","LPM","month05",1.50284965740627e-05,1.39835938803775e-06,10.7472347256534,6.10651540008372e-27,NA,NA
"4.17","high","4 yr.","mnwk","with","1","Male","LPM","month06",1.04165798324053e-05,1.38686747472352e-06,7.51086893467008,5.87362283115559e-14,NA,NA
"4.18","high","4 yr.","mnwk","with","1","Male","LPM","month07",5.61840903566709e-06,1.35226140432251e-06,4.15482466460095,3.25537107181904e-05,NA,NA
"4.19","high","4 yr.","mnwk","with","1","Male","LPM","month08",-1.05972571034144e-06,1.31717587699571e-06,-0.804543818976192,0.421082973511727,NA,NA
"4.20","high","4 yr.","mnwk","with","1","Male","LPM","month09",2.45057958445402e-05,1.44895801794971e-06,16.91270246685,3.62695571205408e-64,NA,NA
"4.21","high","4 yr.","mnwk","with","1","Male","LPM","month10",1.32293674741601e-05,1.38561874056758e-06,9.54762452818807,1.32704428096586e-21,NA,NA
"4.22","high","4 yr.","mnwk","with","1","Male","LPM","month11",1.08106030175583e-05,1.38278264730746e-06,7.81800598858295,5.36666946592969e-15,NA,NA
"4.23","high","4 yr.","mnwk","with","1","Male","LPM","month12",-2.88073918167682e-05,1.17245353953051e-06,-24.5701777046992,2.63300545193557e-133,NA,NA
"4.24","high","4 yr.","mnwk","with","1","Male","LPM","weekdayMonday",3.50876332405514e-05,9.84969489613831e-07,35.6230661056394,6.160161782784e-278,NA,NA
"4.25","high","4 yr.","mnwk","with","1","Male","LPM","weekdayTuesday",4.53752750794105e-05,1.02370412224723e-06,44.3245993576766,0,NA,NA
"4.26","high","4 yr.","mnwk","with","1","Male","LPM","weekdayWednesday",4.71279093954032e-05,1.02976045520542e-06,45.7658955120801,0,NA,NA
"4.27","high","4 yr.","mnwk","with","1","Male","LPM","weekdayThursday",4.25524217182555e-05,1.01490388623291e-06,41.9275384550947,0,NA,NA
"4.28","high","4 yr.","mnwk","with","1","Male","LPM","weekdayFriday",3.11096798228558e-05,9.71580833791338e-07,32.0196516243106,5.81111533119483e-225,NA,NA
"4.29","high","4 yr.","mnwk","with","1","Male","LPM","weekdaySaturday",3.84695845259553e-06,8.56307485288876e-07,4.49249658409532,7.03930564587723e-06,NA,NA
"4.30","high","4 yr.","mnwk","with","1","Male","LPM","policyTRUE:age_grp16-19",-5.23074126123612e-05,9.61328125646002e-06,-5.44116116203416,5.29344115936696e-08,NA,NA
"4.31","high","4 yr.","mnwk","with","1","Male","LPM","policyTRUE:age_grp20-24",1.58106659766862e-05,8.66744286826229e-06,1.82414423919428,0.0681302692462974,NA,NA
"4.32","high","4 yr.","mnwk","with","1","Male","LPM","policyTRUE:age_grp25-34",3.75948857912177e-05,8.58196566121962e-06,4.38068471435423,1.18306965516866e-05,NA,NA
"4.33","high","4 yr.","mnwk","with","1","Male","LPM","policyTRUE:age_grp35-44",4.3157302996619e-05,8.60343843805369e-06,5.01628544300739,5.26800550182338e-07,NA,NA
"4.34","high","4 yr.","mnwk","with","1","Male","LPM","policyTRUE:age_grp45-54",4.32715590167011e-05,8.61937920149472e-06,5.02026398945266,5.16005245509628e-07,NA,NA
"4.35","high","4 yr.","mnwk","with","1","Male","LPM","policyTRUE:age_grp55-64",4.33272433705602e-05,8.67190008814727e-06,4.99628027654283,5.84467089872737e-07,NA,NA
"4.36","high","4 yr.","mnwk","with","1","Male","LPM","policyTRUE:age_grp65-199",5.09764007319025e-05,8.7192398279218e-06,5.84642718149118,5.022434440164e-09,NA,NA
"5","high","4 yr.","mnwk","no","2","Male","LPM","(Intercept)",-0.000440345667624537,1.40895499784616e-05,-31.2533521863854,2.01077207340823e-214,NA,NA
"5.1","high","4 yr.","mnwk","no","2","Male","LPM","policyTRUE",-7.71253140098229e-05,1.26052472821652e-06,-61.1850860862883,0,NA,NA
"5.2","high","4 yr.","mnwk","no","2","Male","LPM","age_grp16-19",0.000336982053290811,1.47289569235774e-05,22.8788810395247,7.54163969108638e-116,NA,NA
"5.3","high","4 yr.","mnwk","no","2","Male","LPM","age_grp20-24",0.00043282082469542,1.39612797048643e-05,31.0015151794875,5.14419506684217e-211,NA,NA
"5.4","high","4 yr.","mnwk","no","2","Male","LPM","age_grp25-34",0.000510850702779172,1.38976777948209e-05,36.7579900988599,8.67009688713295e-296,NA,NA
"5.5","high","4 yr.","mnwk","no","2","Male","LPM","age_grp35-44",0.000512773482888573,1.39102636763496e-05,36.8629592378177,1.81422702850174e-297,NA,NA
"5.6","high","4 yr.","mnwk","no","2","Male","LPM","age_grp45-54",0.000507468256674738,1.39223300714842e-05,36.4499515576158,6.8948505760621e-291,NA,NA
"5.7","high","4 yr.","mnwk","no","2","Male","LPM","age_grp55-64",0.000478281202354375,1.39637698656663e-05,34.2515815539439,4.13277432401286e-257,NA,NA
