"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value"
"6.10","all","4 yr.","excluded","with","2","All","LPM","curr_pts_grp4-6",0.000449777813354355,1.27288937347157e-06,353.351848737387,0
"6.11","all","4 yr.","excluded","with","2","All","LPM","curr_pts_grp7-9",0.000599967681593671,2.39928016037332e-06,250.061535748421,0
"6.12","all","4 yr.","excluded","with","2","All","LPM","curr_pts_grp10-150",0.00072332057534538,3.2141498536092e-06,225.042579932344,0
"6.13","all","4 yr.","excluded","with","2","All","LPM","policyTRUE:age_grp16-19",3.56226518106457e-06,2.89732059422744e-06,1.22950328250245,0.218883167923352
"6.14","all","4 yr.","excluded","with","2","All","LPM","policyTRUE:age_grp20-24",2.63865712376987e-08,2.4254277349402e-06,0.0108791413809529,0.991319872281698
"6.15","all","4 yr.","excluded","with","2","All","LPM","policyTRUE:age_grp25-34",-4.54678489623846e-06,2.20691119008019e-06,-2.06024824047099,0.0393748153345489
"6.16","all","4 yr.","excluded","with","2","All","LPM","policyTRUE:age_grp35-44",-4.20805862952784e-07,2.18512256868807e-06,-0.19257769288678,0.847289716397394
"6.17","all","4 yr.","excluded","with","2","All","LPM","policyTRUE:age_grp45-54",5.53324734084541e-07,2.16441221712396e-06,0.2556466507197,0.798223692966257
"6.18","all","4 yr.","excluded","with","2","All","LPM","policyTRUE:age_grp55-64",4.0418566861076e-07,2.1687575721699e-06,0.186367380936156,0.852156670522855
"6.19","all","4 yr.","excluded","with","2","All","LPM","policyTRUE:age_grp65-199",2.79038598437859e-06,2.15276278265405e-06,1.29618832453915,0.194910611023452
"7","all","4 yr.","excluded","no","3","All","LPM","(Intercept)",9.57981824320214e-05,2.4110999660247e-06,39.7321487213027,0
"7.1","all","4 yr.","excluded","no","3","All","LPM","policyTRUE",-3.38133700735783e-05,2.80717867389781e-07,-120.453216562193,0
"7.2","all","4 yr.","excluded","no","3","All","LPM","age_grp16-19",0.00016833353720139,2.69531738927101e-06,62.4540686271158,0
"7.3","all","4 yr.","excluded","no","3","All","LPM","age_grp20-24",0.000142809214864934,2.50885261991027e-06,56.9221219818171,0
"7.4","all","4 yr.","excluded","no","3","All","LPM","age_grp25-34",6.86106434288052e-05,2.43419515106227e-06,28.1861720901317,8.63981731096082e-175
"7.5","all","4 yr.","excluded","no","3","All","LPM","age_grp35-44",4.29182113536111e-05,2.42721120693367e-06,17.6821082693624,5.76015718997951e-70
"7.6","all","4 yr.","excluded","no","3","All","LPM","age_grp45-54",1.74098431206019e-05,2.42158502906823e-06,7.18944117659203,6.50570454642278e-13
"7.7","all","4 yr.","excluded","no","3","All","LPM","age_grp55-64",-3.84964380849238e-06,2.42264063958053e-06,-1.58902799928219,0.112054071568959
"7.8","all","4 yr.","excluded","no","3","All","LPM","age_grp65-199",-2.41838124973197e-05,2.42107733234912e-06,-9.98886412019507,1.70524563183246e-23
"7.9","all","4 yr.","excluded","no","3","All","LPM","curr_pts_grp1-3",0.00026680153784283,5.74683689768878e-07,464.258065075991,0
"7.10","all","4 yr.","excluded","no","3","All","LPM","curr_pts_grp4-6",0.000566355615713526,1.40513340050018e-06,403.061812858426,0
"7.11","all","4 yr.","excluded","no","3","All","LPM","curr_pts_grp7-9",0.000822759706583581,2.76185064600037e-06,297.901592823304,0
"7.12","all","4 yr.","excluded","no","3","All","LPM","curr_pts_grp10-150",0.00116134949166203,3.98041105387698e-06,291.766221111978,0
"8","all","4 yr.","excluded","with","3","All","LPM","(Intercept)",8.18630707834484e-05,3.40094592577555e-06,24.0706769734307,5.07157465456769e-128
"8.1","all","4 yr.","excluded","with","3","All","LPM","policyTRUE",-5.70562067986011e-06,4.81350949154236e-06,-1.18533487674331,0.235885069097094
"8.2","all","4 yr.","excluded","with","3","All","LPM","age_grp16-19",0.000193427646486155,3.86023131219228e-06,50.1077865140429,0
"8.3","all","4 yr.","excluded","with","3","All","LPM","age_grp20-24",0.000168290956993034,3.55826602849859e-06,47.2957771131137,0
"8.4","all","4 yr.","excluded","with","3","All","LPM","age_grp25-34",8.98979354398399e-05,3.44439350507532e-06,26.099786597372,3.66623268517149e-150
"8.5","all","4 yr.","excluded","with","3","All","LPM","age_grp35-44",5.74809714629963e-05,3.43157918466336e-06,16.7505886852018,5.60688156684668e-63
"8.6","all","4 yr.","excluded","with","3","All","LPM","age_grp45-54",2.97999057137833e-05,3.4238643398284e-06,8.70358833062784,3.21551957579061e-18
"8.7","all","4 yr.","excluded","with","3","All","LPM","age_grp55-64",5.40852936352825e-06,3.4258421571371e-06,1.57874447083342,0.114394680044163
"8.8","all","4 yr.","excluded","with","3","All","LPM","age_grp65-199",-2.15959072155558e-05,3.42290951019015e-06,-6.30922528079221,2.80435680009558e-10
"8.9","all","4 yr.","excluded","with","3","All","LPM","curr_pts_grp1-3",0.000266783961568317,5.74683220219908e-07,464.227860117839,0
"8.10","all","4 yr.","excluded","with","3","All","LPM","curr_pts_grp4-6",0.000566449511246455,1.40516337899025e-06,403.12003551751,0
"8.11","all","4 yr.","excluded","with","3","All","LPM","curr_pts_grp7-9",0.000822889404268796,2.76187997352302e-06,297.945389429479,0
"8.12","all","4 yr.","excluded","with","3","All","LPM","curr_pts_grp10-150",0.00116213455786754,3.98087454989006e-06,291.929460047826,0
"8.13","all","4 yr.","excluded","with","3","All","LPM","policyTRUE:age_grp16-19",-4.90793998254734e-05,5.39741478795664e-06,-9.09313101801723,9.62272031642084e-20
