,past_pts,window,seasonality,age_int,pts_target,sex,reg_type,Variable,Estimate,Std_Error,z_stat,p_value
3.2,all,4 yr.,mnwk,no,1,All,LPM,month09,1.66E-05,3.02E-07,55.02041252,0
3.21,all,4 yr.,mnwk,no,1,All,LPM,month10,9.77E-06,2.85E-07,34.30574854,6.44E-258
3.22,all,4 yr.,mnwk,no,1,All,LPM,month11,7.42E-06,2.82E-07,26.35739287,4.22E-153
3.23,all,4 yr.,mnwk,no,1,All,LPM,month12,-1.17E-05,2.34E-07,-49.92568978,0
3.24,all,4 yr.,mnwk,no,1,All,LPM,weekdayMonday,1.62E-05,2.04E-07,79.31240661,0
3.25,all,4 yr.,mnwk,no,1,All,LPM,weekdayTuesday,2.09E-05,2.12E-07,98.56666016,0
3.26,all,4 yr.,mnwk,no,1,All,LPM,weekdayWednesday,2.20E-05,2.14E-07,102.8040322,0
3.27,all,4 yr.,mnwk,no,1,All,LPM,weekdayThursday,1.97E-05,2.10E-07,93.65172598,0
3.28,all,4 yr.,mnwk,no,1,All,LPM,weekdayFriday,1.43E-05,2.01E-07,71.16602128,0
3.29,all,4 yr.,mnwk,no,1,All,LPM,weekdaySaturday,2.29E-06,1.77E-07,12.91665719,3.63E-38
4,all,4 yr.,mnwk,with,1,All,LPM,(Intercept),-1.80E-05,8.37E-07,-21.53465362,7.37E-103
4.1,all,4 yr.,mnwk,with,1,All,LPM,policyTRUE,1.56E-06,1.25E-06,1.244847707,0.213187736
4.2,all,4 yr.,mnwk,with,1,All,LPM,age_grp16-19,4.04E-05,1.08E-06,37.29694987,1.84E-304
4.3,all,4 yr.,mnwk,with,1,All,LPM,age_grp20-24,2.53E-05,8.92E-07,28.33718321,1.20E-176
4.4,all,4 yr.,mnwk,with,1,All,LPM,age_grp25-34,2.21E-05,8.36E-07,26.42267211,7.52E-154
4.5,all,4 yr.,mnwk,with,1,All,LPM,age_grp35-44,2.06E-05,8.30E-07,24.82742886,4.53E-136
4.6,all,4 yr.,mnwk,with,1,All,LPM,age_grp45-54,1.77E-05,8.26E-07,21.41863887,8.96E-102
4.7,all,4 yr.,mnwk,with,1,All,LPM,age_grp55-64,1.38E-05,8.27E-07,16.6188989,5.09E-62
4.8,all,4 yr.,mnwk,with,1,All,LPM,age_grp65-199,6.92E-06,8.23E-07,8.401883393,4.39E-17
4.9,all,4 yr.,mnwk,with,1,All,LPM,curr_pts_grp1-3,4.68E-05,2.44E-07,191.7632138,0
4.1,all,4 yr.,mnwk,with,1,All,LPM,curr_pts_grp4-6,8.61E-05,5.60E-07,153.7452828,0
