"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","mfx"
"9.11","all","4 yr.","mnwk","no","4","All","LPM","curr_pts_grp7-9",1.95439017943116e-05,4.33429171484798e-07,45.0913392085726,0,NA
"9.12","all","4 yr.","mnwk","no","4","All","LPM","curr_pts_grp10-150",4.53858300262637e-05,7.83325357015457e-07,57.9399474557903,0,NA
"9.13","all","4 yr.","mnwk","no","4","All","LPM","month02",1.75146833950389e-07,8.6865262942234e-08,2.01630465410394,0.0437681285815336,NA
"9.14","all","4 yr.","mnwk","no","4","All","LPM","month03",2.3585442103831e-07,8.51404497947845e-08,2.77018058521882,0.0056025221093467,NA
"9.15","all","4 yr.","mnwk","no","4","All","LPM","month04",7.37238004211471e-07,8.93854902029041e-08,8.24784875641392,1.61271313900978e-16,NA
"9.16","all","4 yr.","mnwk","no","4","All","LPM","month05",1.18560838364533e-06,9.16885008373741e-08,12.9308296331316,3.01547484583121e-38,NA
"9.17","all","4 yr.","mnwk","no","4","All","LPM","month06",1.35859625034532e-06,9.3739125645567e-08,14.4933744686531,1.33423833264758e-47,NA
"9.18","all","4 yr.","mnwk","no","4","All","LPM","month07",1.39777326212489e-06,9.29752388595692e-08,15.0338227604459,4.40815946352831e-51,NA
"9.19","all","4 yr.","mnwk","no","4","All","LPM","month08",1.30480039817203e-06,9.2471922642662e-08,14.1102332565762,3.28490001720047e-45,NA
"9.20","all","4 yr.","mnwk","no","4","All","LPM","month09",1.33083232265471e-06,9.35217195271965e-08,14.2301951822828,5.95154962454481e-46,NA
"9.21","all","4 yr.","mnwk","no","4","All","LPM","month10",1.30594560636985e-06,9.23785041485219e-08,14.136899253859,2.24981426928384e-45,NA
"9.22","all","4 yr.","mnwk","no","4","All","LPM","month11",9.02021805427548e-07,9.06149371129105e-08,9.95444938954806,2.41154142145061e-23,NA
"9.23","all","4 yr.","mnwk","no","4","All","LPM","month12",-1.51328226499447e-08,8.33254255350021e-08,-0.181611105527303,0.855887932845299,NA
"9.24","all","4 yr.","mnwk","no","4","All","LPM","weekdayMonday",-7.6462007200614e-07,7.04969433600353e-08,-10.8461450321491,2.08014724520103e-27,NA
"9.25","all","4 yr.","mnwk","no","4","All","LPM","weekdayTuesday",-5.63258330416295e-07,7.15064112302643e-08,-7.87703257268074,3.35247574480144e-15,NA
"9.26","all","4 yr.","mnwk","no","4","All","LPM","weekdayWednesday",-4.60768460087265e-07,7.20368528467217e-08,-6.39628803700901,1.591995741305e-10,NA
"9.27","all","4 yr.","mnwk","no","4","All","LPM","weekdayThursday",-2.78688224994707e-07,7.30591304566551e-08,-3.81455710262044,0.000136427390170963,NA
"9.28","all","4 yr.","mnwk","no","4","All","LPM","weekdayFriday",3.27713513165354e-07,7.60136738697414e-08,4.3112442338589,1.62338476649679e-05,NA
"9.29","all","4 yr.","mnwk","no","4","All","LPM","weekdaySaturday",6.94127777266685e-07,7.76166709842053e-08,8.94302433310928,3.78662390671126e-19,NA
"10","all","4 yr.","mnwk","with","4","All","LPM","(Intercept)",1.2593122077552e-05,1.19666968440156e-06,10.52347380543,6.73439509899623e-26,NA
"10.1","all","4 yr.","mnwk","with","4","All","LPM","policyTRUE",-4.07550299279934e-06,1.56810439272586e-06,-2.59899979344795,0.00934958296768656,NA
"10.2","all","4 yr.","mnwk","with","4","All","LPM","age_grp16-19",2.95828697444212e-05,1.34544500708231e-06,21.9874239294058,3.79956123221152e-107,NA
"10.3","all","4 yr.","mnwk","with","4","All","LPM","age_grp20-24",-1.86623546782349e-06,1.21307015391772e-06,-1.53843985180602,0.123941104559043,NA
"10.4","all","4 yr.","mnwk","with","4","All","LPM","age_grp25-34",-1.06615302663533e-05,1.19827292189306e-06,-8.8974139960619,5.71629613543736e-19,NA
"10.5","all","4 yr.","mnwk","with","4","All","LPM","age_grp35-44",-1.26531023400072e-05,1.19700138390891e-06,-10.5706664253699,4.07588008369259e-26,NA
"10.6","all","4 yr.","mnwk","with","4","All","LPM","age_grp45-54",-1.32041934902546e-05,1.19656766865183e-06,-11.0350578878099,2.58884845238236e-28,NA
"10.7","all","4 yr.","mnwk","with","4","All","LPM","age_grp55-64",-1.32555431781915e-05,1.19652135115179e-06,-11.0784008705165,1.59699403828996e-28,NA
"10.8","all","4 yr.","mnwk","with","4","All","LPM","age_grp65-199",-1.30964671154633e-05,1.19650847950037e-06,-10.9455698307562,6.97775976334346e-28,NA
"10.9","all","4 yr.","mnwk","with","4","All","LPM","curr_pts_grp1-3",2.6920344839227e-06,6.9561250462269e-08,38.7002025701492,0,NA
"10.10","all","4 yr.","mnwk","with","4","All","LPM","curr_pts_grp4-6",1.03007683612927e-05,1.96995144514255e-07,52.2894530557695,0,NA
"10.11","all","4 yr.","mnwk","with","4","All","LPM","curr_pts_grp7-9",1.95397630017942e-05,4.33429608300586e-07,45.0817448268169,0,NA
"10.12","all","4 yr.","mnwk","with","4","All","LPM","curr_pts_grp10-150",4.54087408436579e-05,7.83414354002933e-07,57.9626102223395,0,NA
