"","past_pts","window","seasonality","age_int","pts_target","sex","reg_type","Variable","Estimate","Std_Error","z_stat","p_value","AME","MER"
"3.3","all","4 yr.","mnwk","16-19","all","All","LPM","curr_pts_grp4-6",0.000728852102018656,9.72828964057236e-06,74.9208883521455,0,NA,NA
"3.4","all","4 yr.","mnwk","16-19","all","All","LPM","curr_pts_grp7-9",0.00107565750885829,1.69712389912085e-05,63.3812009491766,0,NA,NA
"3.5","all","4 yr.","mnwk","16-19","all","All","LPM","curr_pts_grp10-150",0.00172996510076586,2.1189084819177e-05,81.6441632816613,0,NA,NA
"3.6","all","4 yr.","mnwk","16-19","all","All","LPM","month02",0.000112978128491706,7.0881983753245e-06,15.9389061238758,3.40279700016492e-57,NA,NA
"3.7","all","4 yr.","mnwk","16-19","all","All","LPM","month03",0.000203909120778537,7.1750265004264e-06,28.4192846906446,1.16911033440132e-177,NA,NA
"3.8","all","4 yr.","mnwk","16-19","all","All","LPM","month04",0.000234199484974879,7.45301240775003e-06,31.423466400156,9.68379801911769e-217,NA,NA
"3.9","all","4 yr.","mnwk","16-19","all","All","LPM","month05",0.000343894017608041,7.7179857068571e-06,44.5574830881723,0,NA,NA
"3.10","all","4 yr.","mnwk","16-19","all","All","LPM","month06",0.000413754945118358,8.00136772573378e-06,51.7105274124136,0,NA,NA
"3.11","all","4 yr.","mnwk","16-19","all","All","LPM","month07",0.000437277074720174,7.97415835033511e-06,54.8367684097717,0,NA,NA
"3.12","all","4 yr.","mnwk","16-19","all","All","LPM","month08",0.000433105469330468,7.94888841394872e-06,54.4862937779393,0,NA,NA
"3.13","all","4 yr.","mnwk","16-19","all","All","LPM","month09",0.000606158696461386,8.53187092487747e-06,71.0463978884082,0,NA,NA
"3.14","all","4 yr.","mnwk","16-19","all","All","LPM","month10",0.000594474987720634,8.39567457917428e-06,70.8072927451532,0,NA,NA
"3.15","all","4 yr.","mnwk","16-19","all","All","LPM","month11",0.000524555340912863,8.2803138977127e-06,63.3496927040125,0,NA,NA
"3.16","all","4 yr.","mnwk","16-19","all","All","LPM","month12",3.3562989327915e-06,6.56696494156938e-06,0.511088297661812,0.609289230277898,NA,NA
"3.17","all","4 yr.","mnwk","16-19","all","All","LPM","weekdayMonday",0.000107059223896321,6.28370731296776e-06,17.037589207152,4.32219230564303e-65,NA,NA
"3.18","all","4 yr.","mnwk","16-19","all","All","LPM","weekdayTuesday",0.00016046097474234,6.39640836175388e-06,25.0861054622132,7.05466271369245e-139,NA,NA
"3.19","all","4 yr.","mnwk","16-19","all","All","LPM","weekdayWednesday",0.000186670137212535,6.45293271320662e-06,28.9279534606791,5.31915321429055e-184,NA,NA
"3.20","all","4 yr.","mnwk","16-19","all","All","LPM","weekdayThursday",0.000160415623434841,6.41054662595754e-06,25.0237043414187,3.37716515894951e-138,NA,NA
"3.21","all","4 yr.","mnwk","16-19","all","All","LPM","weekdayFriday",0.000179085069214615,6.45016018299649e-06,27.7644374920654,1.16723141047115e-169,NA,NA
"3.22","all","4 yr.","mnwk","16-19","all","All","LPM","weekdaySaturday",6.7477728365947e-05,6.19388828260232e-06,10.8942436943013,1.22784150322634e-27,NA,NA
"4","all","4 yr.","mnwk","20-24","all","All","LPM","(Intercept)",0.000160891689567458,4.11607774855212e-06,39.088593412516,0,NA,NA
"4.1","all","4 yr.","mnwk","20-24","all","All","LPM","policyTRUE",-8.45134910952237e-05,2.05900592997626e-06,-41.0457735282958,0,NA,NA
"4.2","all","4 yr.","mnwk","20-24","all","All","LPM","curr_pts_grp1-3",0.000744679893083307,3.31440667297762e-06,224.679698829563,0,NA,NA
"4.3","all","4 yr.","mnwk","20-24","all","All","LPM","curr_pts_grp4-6",0.00135780155701687,6.31928414743164e-06,214.86635595722,0,NA,NA
"4.4","all","4 yr.","mnwk","20-24","all","All","LPM","curr_pts_grp7-9",0.00183254575982376,1.04456562001465e-05,175.436154963445,0,NA,NA
"4.5","all","4 yr.","mnwk","20-24","all","All","LPM","curr_pts_grp10-150",0.00248788323359019,1.21338021595332e-05,205.037398902662,0,NA,NA
"4.6","all","4 yr.","mnwk","20-24","all","All","LPM","month02",0.000102695898948188,4.85169209505068e-06,21.1670272837286,1.92325833797677e-99,NA,NA
"4.7","all","4 yr.","mnwk","20-24","all","All","LPM","month03",0.000163418967704325,4.83683908444979e-06,33.786314750414,3.134595816795e-250,NA,NA
"4.8","all","4 yr.","mnwk","20-24","all","All","LPM","month04",0.000159033359559153,4.88046292679384e-06,32.5857120409739,6.53925367599621e-233,NA,NA
"4.9","all","4 yr.","mnwk","20-24","all","All","LPM","month05",0.000202334165209989,4.91559632288379e-06,41.1616723423878,0,NA,NA
"4.10","all","4 yr.","mnwk","20-24","all","All","LPM","month06",0.000185268648079292,4.92818588097426e-06,37.5936810327182,2.72854791027764e-309,NA,NA
"4.11","all","4 yr.","mnwk","20-24","all","All","LPM","month07",0.00018535847983038,4.88093534237129e-06,37.9760162404299,1.43724467117626e-315,NA,NA
"4.12","all","4 yr.","mnwk","20-24","all","All","LPM","month08",0.000116572510385606,4.75318701747356e-06,24.5251259748596,7.9717476009643e-133,NA,NA
"4.13","all","4 yr.","mnwk","20-24","all","All","LPM","month09",0.000250784941372911,5.0398800409459e-06,49.760101299126,0,NA,NA
"4.14","all","4 yr.","mnwk","20-24","all","All","LPM","month10",0.000210420012127554,4.92347456806972e-06,42.7381129359729,0,NA,NA
"4.15","all","4 yr.","mnwk","20-24","all","All","LPM","month11",0.000161004061373693,4.87603396441069e-06,33.0194708545578,4.27055579200941e-239,NA,NA
"4.16","all","4 yr.","mnwk","20-24","all","All","LPM","month12",-0.000246099625031015,4.04285459623495e-06,-60.8727371150584,0,NA,NA
"4.17","all","4 yr.","mnwk","20-24","all","All","LPM","weekdayMonday",0.000158907536452822,3.67614451830429e-06,43.2266837338925,0,NA,NA
"4.18","all","4 yr.","mnwk","20-24","all","All","LPM","weekdayTuesday",0.000192525876323618,3.72163487299365e-06,51.7315327520971,0,NA,NA
"4.19","all","4 yr.","mnwk","20-24","all","All","LPM","weekdayWednesday",0.000218192070704413,3.75613534537595e-06,58.0895123955055,0,NA,NA
"4.20","all","4 yr.","mnwk","20-24","all","All","LPM","weekdayThursday",0.000191445329301906,3.72708365620452e-06,51.3659866429896,0,NA,NA
"4.21","all","4 yr.","mnwk","20-24","all","All","LPM","weekdayFriday",0.000174654992091885,3.70430086891846e-06,47.1492457746498,0,NA,NA
"4.22","all","4 yr.","mnwk","20-24","all","All","LPM","weekdaySaturday",4.19346137373866e-05,3.50777841043378e-06,11.9547499387799,6.13183384468539e-33,NA,NA
"5","all","4 yr.","mnwk","25-34","all","All","LPM","(Intercept)",0.000110853455309106,2.19014989569573e-06,50.6145517834031,0,NA,NA
